variable;libelle;codage
sens_pp_t3_D;Piqûre - metamere T3 D (3e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t3_G;Piqûre - metamere T3 G (3e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t4_D;Piqûre - metamere T4 D (4e espace intercostal, ligne mamelonnaire);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t4_G;Piqûre - metamere T4 G (4e espace intercostal, ligne mamelonnaire);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t5_D;Piqûre - metamere T5 D (5e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t5_G;Piqûre - metamere T5 G (5e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t6_D;Piqûre - metamere T6 D (Appendice xiphoïde);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t6_G;Piqûre - metamere T6 G (Appendice xiphoïde);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t7_D;Piqûre - metamere T7 D (7e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t7_G;Piqûre - metamere T7 G (7e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t8_D;Piqûre - metamere T8 D (8e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t8_G;Piqûre - metamere T8 G (8e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t9_D;Piqûre - metamere T9 D (9e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t9_G;Piqûre - metamere T9 G (9e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t10_D;Piqûre - metamere T10 D (Ombilic);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t10_G;Piqûre - metamere T10 G (Ombilic);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t11_D;Piqûre - metamere T11 D (11e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t11_G;Piqûre - metamere T11 G (11e espace intercostal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t12_D;Piqûre - metamere T12 D (Milieu du ligament inguinal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_t12_G;Piqûre - metamere T12 G (Milieu du ligament inguinal);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_l1_D;Piqûre - metamere L1 D (Mi-distance entre T12 et L2);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_l1_G;Piqûre - metamere L1 G (Mi-distance entre T12 et L2);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_l2_D;Piqûre - metamere L2 D (Face antéro-médiale de cuisse, tiers moyen);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_l2_G;Piqûre - metamere L2 G (Face antéro-médiale de cuisse, tiers moyen);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_l3_D;Piqûre - metamere L3 D (Condyle fémoral médial);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_l3_G;Piqûre - metamere L3 G (Condyle fémoral médial);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_l4_D;Piqûre - metamere L4 D (Malléole médiale);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_l4_G;Piqûre - metamere L4 G (Malléole médiale);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_l5_D;Piqûre - metamere L5 D (Dos du pied, 3e articulation métatarso-phalangienne);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_l5_G;Piqûre - metamere L5 G (Dos du pied, 3e articulation métatarso-phalangienne);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_s1_D;Piqûre - metamere S1 D (Face latérale du talon);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_s1_G;Piqûre - metamere S1 G (Face latérale du talon);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_s2_D;Piqûre - metamere S2 D (Creux poplité, ligne médiane);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_s2_G;Piqûre - metamere S2 G (Creux poplité, ligne médiane);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_s3_D;Piqûre - metamere S3 D (Tubérosité ischiatique);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_s3_G;Piqûre - metamere S3 G (Tubérosité ischiatique);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_s45_D;Piqûre - metamere S4-5 D (Région périanale, à moins d’un centimètre de la marge);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pp_s45_G;Piqûre - metamere S4-5 G (Région périanale, à moins d’un centimètre de la marge);"2 = normale ; 1 = hypoesthesie ; 3 = hyperesthesie ; 0 = anesthesie ; 9 = non testable (NT) ; vide = non renseigne. Score ASIA : 2 vaut 2, 1 et 3 valent 1, 0 vaut 0, NT est exclu du total"
sens_pal_nb;Pallesthesie - nombre de reliefs anormaux;"entier 0-23 ; vide = non examine"
sens_pal_nb_D;Pallesthesie - nombre a DROITE;entier
sens_pal_nb_G;Pallesthesie - nombre a GAUCHE;entier
sens_pal_nb_hypo;Pallesthesie - nombre cotes Diminuée;entier
sens_pal_nb_hyper;Pallesthesie - nombre cotes Exagérée;entier
sens_pal_nb_an;Pallesthesie - nombre cotes Abolie;entier
sens_pal_tetecou_D;Pallesthesie - atteinte Tête / cou D;"1 = atteinte ; 0 = aucune"
sens_pal_tetecou_G;Pallesthesie - atteinte Tête / cou G;"1 = atteinte ; 0 = aucune"
sens_pal_MS_D;Pallesthesie - atteinte Membre supérieur D;"1 = atteinte ; 0 = aucune"
sens_pal_MS_G;Pallesthesie - atteinte Membre supérieur G;"1 = atteinte ; 0 = aucune"
sens_pal_tronc_D;Pallesthesie - atteinte Tronc D;"1 = atteinte ; 0 = aucune"
sens_pal_tronc_G;Pallesthesie - atteinte Tronc G;"1 = atteinte ; 0 = aucune"
sens_pal_MI_D;Pallesthesie - atteinte Membre inférieur D;"1 = atteinte ; 0 = aucune"
sens_pal_MI_G;Pallesthesie - atteinte Membre inférieur G;"1 = atteinte ; 0 = aucune"
sens_pal_zones;Pallesthesie - liste detaillee;texte, separes par |
sens_pal_crane;Pallesthesie - Crâne (median);"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_clavicule_D;Pallesthesie - Clavicule D;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_clavicule_G;Pallesthesie - Clavicule G;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_epaule_D;Pallesthesie - Épaule D;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_epaule_G;Pallesthesie - Épaule G;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_coude_D;Pallesthesie - Coude D;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_coude_G;Pallesthesie - Coude G;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_poignet_D;Pallesthesie - Poignet D;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_poignet_G;Pallesthesie - Poignet G;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_doigt_D;Pallesthesie - Doigt D;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_doigt_G;Pallesthesie - Doigt G;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_costal_D;Pallesthesie - Grill costal D;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_costal_G;Pallesthesie - Grill costal G;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_eias_D;Pallesthesie - EIAS D;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_eias_G;Pallesthesie - EIAS G;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_rotule_D;Pallesthesie - Rotule D;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_rotule_G;Pallesthesie - Rotule G;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_malleole_int_D;Pallesthesie - Malléole interne D;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_malleole_int_G;Pallesthesie - Malléole interne G;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_malleole_ext_D;Pallesthesie - Malléole externe D;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_malleole_ext_G;Pallesthesie - Malléole externe G;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_orteil_D;Pallesthesie - Orteil D;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
sens_pal_orteil_G;Pallesthesie - Orteil G;"1 = diminuee ; 2 = exageree ; 3 = abolie ; 0 = normale ; vide = non examine"
asia_lt;ASIA - score tact leger total;entier 0-112 (calcule)
asia_pp;ASIA - score piqure total;entier 0-112 (calcule)
asia_uems;ASIA - score moteur membres superieurs;entier 0-50 (calcule)
asia_lems;ASIA - score moteur membres inferieurs;entier 0-50 (calcule)
asia_sens_D;ASIA - niveau sensitif DROIT;texte, metamere (calcule)
asia_sens_G;ASIA - niveau sensitif GAUCHE;texte, metamere (calcule)
asia_mot_D;ASIA - niveau moteur DROIT;texte, metamere (calcule, regle simplifiee)
asia_mot_G;ASIA - niveau moteur GAUCHE;texte, metamere (calcule, regle simplifiee)
asia_nli;ASIA - niveau neurologique de la lesion;texte, metamere (calcule)
asia_sacral;ASIA - preservation sacree;"1 = oui ; 0 = non ; vide = non determinable"
asia_ais;ASIA - grade AIS;A, B, C, D ou E (calcul indicatif, a verifier)
subj_nb;Signes subjectifs - nombre total de zones;entier 0-48
subj_nb_D;Signes subjectifs - zones a DROITE;entier
subj_nb_G;Signes subjectifs - zones a GAUCHE;entier
subj_fourmillements_nb;Signes subjectifs - zones : Fourmillements;entier
subj_picotements_nb;Signes subjectifs - zones : Picotements;entier
subj_cartonnee_nb;Signes subjectifs - zones : Peau cartonnée;entier
subj_brulures_nb;Signes subjectifs - zones : Brûlures;entier
subj_decharges_nb;Signes subjectifs - zones : Décharges électriques;entier
subj_engourdissement_nb;Signes subjectifs - zones : Engourdissement;entier
subj_tetecou_D;Signes subjectifs - atteinte Tête / cou D;"1 = oui ; 0 = non"
subj_tetecou_G;Signes subjectifs - atteinte Tête / cou G;"1 = oui ; 0 = non"
subj_MS_D;Signes subjectifs - atteinte Membre supérieur D;"1 = oui ; 0 = non"
subj_MS_G;Signes subjectifs - atteinte Membre supérieur G;"1 = oui ; 0 = non"
subj_tronc_D;Signes subjectifs - atteinte Tronc D;"1 = oui ; 0 = non"
subj_tronc_G;Signes subjectifs - atteinte Tronc G;"1 = oui ; 0 = non"
subj_MI_D;Signes subjectifs - atteinte Membre inférieur D;"1 = oui ; 0 = non"
subj_MI_G;Signes subjectifs - atteinte Membre inférieur G;"1 = oui ; 0 = non"
subj_zones;Signes subjectifs - liste detaillee;texte, separees par |
subj_ant_tete_D;Signes subjectifs - Face D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_tete_G;Signes subjectifs - Face G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_cou_D;Signes subjectifs - Cou ant. D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_cou_G;Signes subjectifs - Cou ant. G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_epaule_D;Signes subjectifs - Épaule / deltoïde D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_epaule_G;Signes subjectifs - Épaule / deltoïde G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_troncsup_D;Signes subjectifs - Thorax ant. D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_troncsup_G;Signes subjectifs - Thorax ant. G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_troncinf_D;Signes subjectifs - Abdomen D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_troncinf_G;Signes subjectifs - Abdomen G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_bassin_D;Signes subjectifs - Aine / pli inguinal D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_bassin_G;Signes subjectifs - Aine / pli inguinal G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_bras_D;Signes subjectifs - Bras ant. D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_bras_G;Signes subjectifs - Bras ant. G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_avantbras_D;Signes subjectifs - Avant-bras ant. D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_avantbras_G;Signes subjectifs - Avant-bras ant. G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_main_D;Signes subjectifs - Main (palmaire) D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_main_G;Signes subjectifs - Main (palmaire) G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_cuisse_D;Signes subjectifs - Cuisse ant. D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_cuisse_G;Signes subjectifs - Cuisse ant. G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_jambe_D;Signes subjectifs - Jambe ant. D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_jambe_G;Signes subjectifs - Jambe ant. G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_pied_D;Signes subjectifs - Pied (dos) D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_ant_pied_G;Signes subjectifs - Pied (dos) G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_tete_D;Signes subjectifs - Occiput D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_tete_G;Signes subjectifs - Occiput G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_cou_D;Signes subjectifs - Nuque D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_cou_G;Signes subjectifs - Nuque G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_epaule_D;Signes subjectifs - Épaule post. / trapèze D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_epaule_G;Signes subjectifs - Épaule post. / trapèze G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_troncsup_D;Signes subjectifs - Dos (région scapulaire) D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_troncsup_G;Signes subjectifs - Dos (région scapulaire) G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_troncinf_D;Signes subjectifs - Lombes D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_troncinf_G;Signes subjectifs - Lombes G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_bassin_D;Signes subjectifs - Fesse D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_bassin_G;Signes subjectifs - Fesse G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_bras_D;Signes subjectifs - Bras post. D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_bras_G;Signes subjectifs - Bras post. G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_avantbras_D;Signes subjectifs - Avant-bras post. D;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
subj_post_avantbras_G;Signes subjectifs - Avant-bras post. G;"1 = Fourmillements ; 2 = Picotements ; 3 = Peau cartonnée ; 4 = Brûlures ; 5 = Décharges électriques ; 6 = Engourdissement ; 0 = aucun ; vide = non renseigne"
