variable;libelle;codage
ref_rot_D_etendu;Rotulien DROIT - reflexe étendu (Réflexes — membres inférieurs);"1 = present ; 0 = absent ; vide = reflexe non teste"
ref_rot_G;Rotulien GAUCHE (Réflexes — membres inférieurs);"0 = Absent ; 1 = Présent ; 2 = Très vif"
ref_rot_G_poly;Rotulien GAUCHE - reflexe polycinétique (Réflexes — membres inférieurs);"1 = present ; 0 = absent ; vide = reflexe non teste"
ref_rot_G_etendu;Rotulien GAUCHE - reflexe étendu (Réflexes — membres inférieurs);"1 = present ; 0 = absent ; vide = reflexe non teste"
ref_ach_D;Achilléen DROIT (Réflexes — membres inférieurs);"0 = Absent ; 1 = Présent ; 2 = Très vif"
ref_ach_D_poly;Achilléen DROIT - reflexe polycinétique (Réflexes — membres inférieurs);"1 = present ; 0 = absent ; vide = reflexe non teste"
ref_ach_D_etendu;Achilléen DROIT - reflexe étendu (Réflexes — membres inférieurs);"1 = present ; 0 = absent ; vide = reflexe non teste"
ref_ach_G;Achilléen GAUCHE (Réflexes — membres inférieurs);"0 = Absent ; 1 = Présent ; 2 = Très vif"
ref_ach_G_poly;Achilléen GAUCHE - reflexe polycinétique (Réflexes — membres inférieurs);"1 = present ; 0 = absent ; vide = reflexe non teste"
ref_ach_G_etendu;Achilléen GAUCHE - reflexe étendu (Réflexes — membres inférieurs);"1 = present ; 0 = absent ; vide = reflexe non teste"
bbk_D;Cutané plantaire (BBK) DROIT (Réflexes — membres inférieurs);"0 = Flexion ; 1 = Neutre ; 2 = Extension"
bbk_G;Cutané plantaire (BBK) GAUCHE (Réflexes — membres inférieurs);"0 = Flexion ; 1 = Neutre ; 2 = Extension"
trep_pied;Trépidation du pied (Réflexes — membres inférieurs);"1 = OUI ; 0 = NON"
trep_pied_cote;Côté (Réflexes — membres inférieurs);"1 = D ; 2 = G ; 3 = Bilat."
trep_pied_qual_D;Caractère à DROITE (Réflexes — membres inférieurs);"1 = Épuisable ; 2 = Inépuisable"
trep_pied_qual_G;Caractère à GAUCHE (Réflexes — membres inférieurs);"1 = Épuisable ; 2 = Inépuisable"
trep_rot;Trépidation de la rotule (Réflexes — membres inférieurs);"1 = OUI ; 0 = NON"
trep_rot_cote;Côté (Réflexes — membres inférieurs);"1 = D ; 2 = G ; 3 = Bilat."
trep_rot_qual_D;Caractère à DROITE (Réflexes — membres inférieurs);"1 = Épuisable ; 2 = Inépuisable"
trep_rot_qual_G;Caractère à GAUCHE (Réflexes — membres inférieurs);"1 = Épuisable ; 2 = Inépuisable"
contract;Contractions musculaires spontanées (Réflexes — membres inférieurs);"1 = OUI ; 0 = NON"
contract_cote;Côté (Réflexes — membres inférieurs);"1 = D ; 2 = G ; 3 = Bilat."
contract_loc;Localisation (Réflexes — membres inférieurs);texte libre
par_fac;Paralysie faciale (Motricité et force motrice);"1 = OUI ; 0 = NON"
par_fac_cote;Côté (Motricité et force motrice);"1 = D ; 2 = G ; 3 = Bilat."
par_oeil;Absence de fermeture de l'œil (Motricité et force motrice);"1 = OUI ; 0 = NON"
barre;Chute au BARRÉ (Motricité et force motrice);"1 = OUI ; 0 = NON"
barre_cote;Côté (Motricité et force motrice);"1 = D ; 2 = G ; 3 = Bilat."
ming;Chute au MINGAZZINI (Motricité et force motrice);"1 = OUI ; 0 = NON"
ming_cote;Côté (Motricité et force motrice);"1 = D ; 2 = G ; 3 = Bilat."
def_msd;Déficit du membre supérieur DROIT (Motricité et force motrice);"1 = OUI ; 0 = NON"
def_msg;Déficit du membre supérieur GAUCHE (Motricité et force motrice);"1 = OUI ; 0 = NON"
def_mid;Déficit du membre inférieur DROIT (Motricité et force motrice);"1 = OUI ; 0 = NON"
def_mig;Déficit du membre inférieur GAUCHE (Motricité et force motrice);"1 = OUI ; 0 = NON"
f_c5_D;C5 — flexion du coude (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_c6_D;C6 — extension du poignet (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_c7_D;C7 — extension du coude (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
f_c8_D;C8 — flexion des doigts (Motricité et force motrice);"0 = 0 ; 1 = 1 ; 2 = 2 ; 3 = 3 ; 4 = 4 ; 5 = 5"
